MoveName,Type,Category,Power,Accuracy,PP,Description
누르기,노말,물리,85,100,15,몸 전체로 상대를 덮쳐눌러 공격한다. 30% 확률로 마비 상태로 만든다. 대상이 작아지기를 사용했다면 필중하며 데미지가 2배다.
눈물그렁그렁,노말,변화,0,0,20,눈물을 그렁그렁거려 상대의 전의를 상실하게 한다. 상대의 공격과 특수공격이 1랭크 떨어진다.
다과회,노말,변화,0,0,10,배틀에 나와 있는 포켓몬이 각자 지니고 있는 나무열매를 먹는다.
단단해지기,노말,변화,0,0,30,전신에 힘을 담아 몸을 단단하게 해서 자신의 방어를 1랭크 올린다.
달콤한향기,노말,변화,0,100,20,향기로 상대의 회피율을 2랭크 떨어뜨린다. 풀밭 등에서 쓰면 포켓몬이 다가온다.
당신먼저,노말,변화,0,0,15,상대의 행동을 도와서 자신이 행동한 뒤에 바로 움직일 수 있도록 한다.
대지의파동,노말,특수,50,100,10,필드의 힘을 빌려서 공격한다. 사용했을 때의 필드 상태에 따라서 기술 타입과 위력이 바뀐다.
대타출동,노말,변화,0,0,10,자신의 HP를 1/4 깎아서 분신을 만든다. 분신은 자신의 대타가 된다.
대폭발,노말,물리,250,100,5,큰 폭발로 자신의 주위에 있는 포켓몬을 공격한다. 쓰고 나서는 기절한다.
더블어택,노말,물리,35,90,10,꼬리 등을 써서 상대를 때려 공격한다. 2회 연속으로 데미지를 준다.
도우미,노말,변화,0,0,20,동료를 돕는다. 도움받은 포켓몬이 쓰는 기술의 위력은 여느 때보다 커진다.
돌림노래,노말,특수,60,100,15,노래로 상대를 공격한다. 함께 돌림노래를 하면 계속해서 쓸 수 있고 위력도 2배로 올라간다.
돌진,노말,물리,90,85,20,굉장한 기세로 상대에게 부딪쳐 공격한다. 자신도 대상에게 준 피해의 1/4만큼 반동피해를 받는다.
동료만들기,노말,변화,0,100,15,이상한 리듬으로 춤춘다. 움직임을 흉내 내게 해서 상대의 특성을 자신의 특성과 같게 만든다. 사용자와 대상의 특성이 같을 경우 실패한다.
레이징불,노말,물리,90,100,10,분노해 날뛰는 성난소의 맹렬한 태클. 폼에 따라 기술의 타입이 달라지고 빛의장막이나 리플렉터 등도 파괴할 수 있다.
로켓박치기,노말,물리,130,100,10,1턴째에 머리를 움츠려 방어를 1랭크 올린다. 2턴째는 상대를 공격한다.
록온,노말,변화,0,0,5,조준을 잘 맞춰 다음 공격이 반드시 상대에게 명중하도록 한다.
록클라임,노말,물리,90,85,20,굉장한 기세로 상대에게 돌진하여 공격한다. 20%의 확률로 상대를 혼란 상태로 만든다.
리사이클,노말,변화,0,0,10,배틀 중에 사용하여 없어진 자신의 지닌 물건을 재생시켜 사용할 수 있게 한다.
리프레시,노말,변화,0,0,20,"몸을 쉬게 하여 자신이 입은 독, 마비, 화상의 상태 이상을 치료한다."
마구찌르기,노말,물리,15,85,20,뿔이나 부리로 상대를 찔러서 공격한다. 2-5회 동안 연속으로 쓴다.
마구할퀴기,노말,물리,18,80,15,발톱이나 낫 등으로 상대를 할퀴어서 공격한다. 2-5회 동안 연속으로 쓴다.
마음의눈,노말,변화,0,0,5,상대의 움직임을 마음으로 읽고 다음 공격이 반드시 명중되게 한다.
마지막수단,노말,특수,0,0,5,마지막수단은 남은 PP가 적으면 적을수록 기술의 위력이 올라간다.
막치기,노말,물리,40,100,35,긴 꼬리나 손 등을 사용하여 상대를 때려서 공격한다.
멀리짖기,노말,변화,0,0,40,큰 소리로 짖고 기합을 높여 아군 전체의 공격을 1랭크 올린다.
멀티어택,노말,물리,120,100,10,높은 에너지를 둘러싸 상대에게 부딪쳐 공격한다. 메모리에 따라 타입이 바뀐다.
메가톤킥,노말,물리,120,75,5,굉장한 힘을 담은 킥으로 상대를 걷어차서 공격한다.
메가톤펀치,노말,물리,80,85,20,힘을 담은 펀치로 상대를 공격한다.
멸망의노래,노말,변화,0,0,5,노래를 들은 포켓몬은 3턴이 지나면 기절한다. 교체되면 효과가 없어진다.
몸통박치기,노말,물리,40,100,35,상대를 향해서 몸 전체를 부딪쳐가며 공격한다.
묵사발,노말,물리,0,100,5,굉장한 힘으로 상대를 묵사발로 만든다. 상대의 HP가 남아 있을수록 위력이 올라간다.
미러타입,노말,변화,0,0,15,상대의 타입을 반사해서 자신도 똑같은 타입이 된다.
바둥바둥,노말,물리,0,100,15,바둥바둥 난동부려서 공격한다. 자신의 HP가 적을수록 기술의 위력이 올라간다.
박치기,노말,물리,70,100,15,머리를 내밀고 무작정 돌진하여 공격한다. 30% 확률로 풀죽게 만든다. 나무를 흔들어 포켓몬을 떨어뜨릴 수도 있다.
발버둥,노말,물리,50,0,1,자신의 PP가 떨어지면 발버둥쳐 상대를 공격한다. 자신도 조금 데미지를 입는다.
방어,노말,변화,0,0,10,상대의 공격을 전혀 받지 않는다. 연속으로 쓰면 실패하기 쉽다.
배북,노말,변화,0,0,10,자신의 HP를 최대 HP의 절반만큼 감소시켜 자신의 공격을 최대로 올린다.
배턴터치,노말,변화,0,0,40,교대 포켓몬과 교체한다. 능력 변화는 교대 포켓몬이 그대로 이어받는다.
뱀눈초리,노말,변화,0,100,30,배의 무늬로 겁을 주어 상대를 마비 상태로 만든다.
버티기,노말,변화,0,0,10,공격을 받아도 HP를 반드시 1만큼은 남긴다. 연속으로 쓰면 실패하기 쉽다.
베껴그리기,노말,변화,0,100,10,상대의 본질을 꿰둟어 보고 베껴서 자신과 같은 편을 상대와 같은 특성으로 바꾼다.
베어가르기,노말,물리,70,100,20,발톱이나 낫 등올 상대를 베어 갈라서 공격한다. 급소에 맞을 확률이 높다.
변신,노말,변화,0,0,10,상대 포켓몬으로 변신하여 상대와 완전히 똑같은 기술을 사용할 수 있다.
보호색,노말,변화,0,0,20,"물가나 풀밭, 동굴 등 있는 장소에 맞춰서 자신의 타입을 바꾼다."
볼가득넣기,노말,변화,0,0,10,지니고 있는 나무열매를 먹고 방어를 2랭크 올린다.
부르짖기,노말,변화,0,100,30,우렁차게 부르짖어서 상대를 위협하여 상대의 공격과 특수공격을 1랭크 떨어뜨린다.
분노,노말,물리,20,100,20,기술을 썼을 때 공격을 받으면 분노의 힘으로 공격이 1랭크 올라간다.
분노의앞니,노말,물리,0,90,10,날카로운 앞니로 강하게 물어서 공격한다. 상대의 HP는 절반이 된다.
분발,노말,변화,0,0,30,스스로 분발해서 공격과 특수공격을 1랭크 올린다.
브레이크클로,노말,물리,75,95,10,단단하고 날카로운 손톱으로 베어 갈라서 공격한다. 50% 확률로 상대의 방어를 1랭크 떨어뜨린다.
블러드문,노말,특수,140,100,5,피와 같이 붉은 보름달에서 혼신의 기백을 발사한다. 이 기술은 2회 연속으로 쓸 수 없다.
블록,노말,변화,0,0,5,양팔을 벌려 막아서서 상대의 도주로를 가로막아 도망칠 수 없게 한다.
비밀의힘,노말,물리,70,100,20,비밀의 힘으로 공격한다. 사용 장소에 따라 30% 확률로 추가효과가 변화한다.
비밀이야기,노말,변화,0,0,20,비밀 이야기를 해서 상대의 집중력을 잃게 하여 특수공격을 1랭크 떨어뜨린다. 방어 계열 기술을 무시한다.
비장의무기,노말,물리,140,100,5,배틀 중에 기억하고 있는 기술을 모두 사용하면 그때부터 쓸 수 있는 비장의 기술.
비축하기,노말,변화,0,0,20,힘을 비축해서 자신의 방어와 특수방어를 1랭크 올린다. 최대 3회까지 비축할 수 있다.
뽐내기,노말,변화,0,85,15,상대에게 화내게 해서 혼란 시킨다. 분노로 상대의 공격은 2랭크 올라가 버린다.
뿔드릴,노말,물리,0,30,5,회전하는 뿔을 상대에게 꿰찔러서 공격한다. 맞으면 일격에 기절한다.
뿔찌르기,노말,물리,65,100,25,날카롭고 뾰족한 뿔로 상대를 공격한다.
사슬묶기,노말,변화,0,100,20,상대의 움직임을 막아 바로 전에 쓴 기술을 4턴 동안 사용할 수 없게 만든다.
선취,노말,변화,0,0,20,위력을 1.5배 올려 상대가 쓰려고 하는 기술을 먼저 쓴다. 먼저 쓰지 않으면 실패한다.
성장,노말,변화,0,0,20,몸을 일시에 크게 성장시켜 자신의 공격과 특수공격을 1랭크 올린다. 쾌청 상태일 때는 2랭크 올라간다.
소닉붐,노말,특수,0,90,20,충격파를 상대에 부딪쳐서 공격한다. 언제나 20의 데미지를 준다.
소란피기,노말,특수,90,100,10,"2-5턴 동안 소란피워 공격한다. 그 동안은 아무도 잠들지 않게 된다. 광합성, 아침햇살, 달빛의 회복량이 1/4로 감소한다."
